# tracer: nop
#
# entries-in-buffer/entries-written: 1428/1428   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u64:4-5436    [009] d..3.  1210.114202: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104114
   kworker/u64:4-5436    [009] d..3.  1210.114204: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00104101
   kworker/u64:4-5436    [009] d..3.  1210.114205: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040100
   kworker/u64:4-5436    [009] d..3.  1210.114206: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040001
   kworker/u64:4-5436    [009] d..3.  1210.114208: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00101000
   kworker/u64:4-5436    [009] d..3.  1210.114209: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000100
   kworker/u64:4-5436    [009] .....  1210.114244: amdgpu_device_wreg: 0x1638, 0x00005050, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114245: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000001
   kworker/u64:4-5436    [009] .....  1210.114251: amdgpu_device_wreg: 0x1638, 0x00003adc, 0x00000040
   kworker/u64:4-5436    [009] .....  1210.114254: amdgpu_device_wreg: 0x1638, 0x00003d70, 0x00000040
   kworker/u64:4-5436    [009] .....  1210.114256: amdgpu_device_wreg: 0x1638, 0x00003adb, 0x04100200
   kworker/u64:4-5436    [009] .....  1210.114257: amdgpu_device_wreg: 0x1638, 0x00003ac9, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114258: amdgpu_device_wreg: 0x1638, 0x00003ada, 0x00000606
   kworker/u64:4-5436    [009] .....  1210.114259: amdgpu_device_wreg: 0x1638, 0x00003ad5, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114259: amdgpu_device_wreg: 0x1638, 0x00003ad4, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114260: amdgpu_device_wreg: 0x1638, 0x00003ad3, 0x000000f4
   kworker/u64:4-5436    [009] .....  1210.114260: amdgpu_device_wreg: 0x1638, 0x00003ad2, 0xbbf00000
   kworker/u64:4-5436    [009] .....  1210.114260: amdgpu_device_wreg: 0x1638, 0x00003ad7, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114261: amdgpu_device_wreg: 0x1638, 0x00003ad6, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114261: amdgpu_device_wreg: 0x1638, 0x00003acf, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114262: amdgpu_device_wreg: 0x1638, 0x00003ace, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114262: amdgpu_device_wreg: 0x1638, 0x00003acd, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114263: amdgpu_device_wreg: 0x1638, 0x00003acc, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114263: amdgpu_device_wreg: 0x1638, 0x00003acb, 0x000000f4
   kworker/u64:4-5436    [009] .....  1210.114264: amdgpu_device_wreg: 0x1638, 0x00003aca, 0xbb000000
   kworker/u64:4-5436    [009] .....  1210.114265: amdgpu_device_wreg: 0x1638, 0x00003d6f, 0x04100200
   kworker/u64:4-5436    [009] .....  1210.114266: amdgpu_device_wreg: 0x1638, 0x00003d5d, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114267: amdgpu_device_wreg: 0x1638, 0x00003d6e, 0x00000606
   kworker/u64:4-5436    [009] .....  1210.114268: amdgpu_device_wreg: 0x1638, 0x00003d69, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114268: amdgpu_device_wreg: 0x1638, 0x00003d68, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114269: amdgpu_device_wreg: 0x1638, 0x00003d67, 0x000000f4
   kworker/u64:4-5436    [009] .....  1210.114269: amdgpu_device_wreg: 0x1638, 0x00003d66, 0xbbf00000
   kworker/u64:4-5436    [009] .....  1210.114270: amdgpu_device_wreg: 0x1638, 0x00003d6b, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114270: amdgpu_device_wreg: 0x1638, 0x00003d6a, 0x00000000
   kworker/u64:4-5436    [009] .....  1210.114271: amdgpu_device_wreg: 0x1638, 0x00003d63, 0x00000000
