# tracer: nop
#
# entries-in-buffer/entries-written: 11582/11582   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [001] d.h1. 33322.110685: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33322.110895: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
   kworker/u64:3-114918  [001] ..... 33322.117890: amdgpu_device_wreg: 0x1638, 0x00005050, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117892: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000001
   kworker/u64:3-114918  [001] ..... 33322.117897: amdgpu_device_wreg: 0x1638, 0x00003adc, 0x00000040
   kworker/u64:3-114918  [001] ..... 33322.117899: amdgpu_device_wreg: 0x1638, 0x00003d70, 0x00000040
   kworker/u64:3-114918  [001] ..... 33322.117901: amdgpu_device_wreg: 0x1638, 0x00003adb, 0x04100200
   kworker/u64:3-114918  [001] ..... 33322.117902: amdgpu_device_wreg: 0x1638, 0x00003ac9, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117903: amdgpu_device_wreg: 0x1638, 0x00003ada, 0x00000606
   kworker/u64:3-114918  [001] ..... 33322.117904: amdgpu_device_wreg: 0x1638, 0x00003ad5, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117905: amdgpu_device_wreg: 0x1638, 0x00003ad4, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117905: amdgpu_device_wreg: 0x1638, 0x00003ad3, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33322.117906: amdgpu_device_wreg: 0x1638, 0x00003ad2, 0xb2f00000
   kworker/u64:3-114918  [001] ..... 33322.117907: amdgpu_device_wreg: 0x1638, 0x00003ad7, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117907: amdgpu_device_wreg: 0x1638, 0x00003ad6, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117908: amdgpu_device_wreg: 0x1638, 0x00003acf, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117909: amdgpu_device_wreg: 0x1638, 0x00003ace, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117909: amdgpu_device_wreg: 0x1638, 0x00003acd, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117910: amdgpu_device_wreg: 0x1638, 0x00003acc, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117911: amdgpu_device_wreg: 0x1638, 0x00003acb, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33322.117911: amdgpu_device_wreg: 0x1638, 0x00003aca, 0xb2000000
   kworker/u64:3-114918  [001] ..... 33322.117913: amdgpu_device_wreg: 0x1638, 0x00003d6f, 0x04100200
   kworker/u64:3-114918  [001] ..... 33322.117914: amdgpu_device_wreg: 0x1638, 0x00003d5d, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117915: amdgpu_device_wreg: 0x1638, 0x00003d6e, 0x00000606
   kworker/u64:3-114918  [001] ..... 33322.117916: amdgpu_device_wreg: 0x1638, 0x00003d69, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117917: amdgpu_device_wreg: 0x1638, 0x00003d68, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117918: amdgpu_device_wreg: 0x1638, 0x00003d67, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33322.117918: amdgpu_device_wreg: 0x1638, 0x00003d66, 0xb2f00000
   kworker/u64:3-114918  [001] ..... 33322.117919: amdgpu_device_wreg: 0x1638, 0x00003d6b, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117920: amdgpu_device_wreg: 0x1638, 0x00003d6a, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117920: amdgpu_device_wreg: 0x1638, 0x00003d63, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117921: amdgpu_device_wreg: 0x1638, 0x00003d62, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117922: amdgpu_device_wreg: 0x1638, 0x00003d61, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117922: amdgpu_device_wreg: 0x1638, 0x00003d60, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117923: amdgpu_device_wreg: 0x1638, 0x00003d5f, 0x000000f4
   kworker/u64:3-114918  [001] ..... 33322.117924: amdgpu_device_wreg: 0x1638, 0x00003d5e, 0xb2000000
   kworker/u64:3-114918  [001] ..... 33322.117925: amdgpu_device_wreg: 0x1638, 0x0000504b, 0x00000000
   kworker/u64:3-114918  [001] ..... 33322.117927: amdgpu_device_wreg: 0x1638, 0x00004ffa, 0x00000001
          <idle>-0       [001] d.h1. 33322.127650: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33322.127657: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1. 33322.127682: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00070101
          <idle>-0       [001] d.h1. 33322.144235: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33322.144261: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.h1. 33322.161001: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00111100
          <idle>-0       [001] d.h1. 33322.161009: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x0010411d
          <idle>-0       [001] d.s3. 33322.161898: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00114101
          <idle>-0       [001] d.s3. 33322.161900: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100101
          <idle>-0       [001] d.s4. 33322.161902: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100111
          <idle>-0       [001] d.s4. 33322.161904: amdgpu_device_wreg: 0x1638, 0x0000504a, 0x00100100
          <idle>-0       [001] d.s4. 33322.161905: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040101
          <idle>-0       [001] d.s4. 33322.161907: amdgpu_device_wreg: 0x1638, 0x00003ae0, 0x00040000
          <idle>-0       [001] d.s4. 33322.161911: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00100100
          <idle>-0       [001] d.s4. 33322.161913: amdgpu_device_wreg: 0x1638, 0x00005023, 0x00000000
