09:20:08.635033 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.106 tell 192.168.1.1, length 46
09:20:08.718580 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.101 tell 192.168.1.1, length 46
09:20:08.740634 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.108 tell 192.168.1.1, length 46
09:20:08.898581 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.110 tell 192.168.1.1, length 46
09:20:08.922874 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.104 tell 192.168.1.1, length 46
09:20:09.606383 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.104 tell 192.168.1.1, length 46
09:20:10.136489 78:bd:bc:f8:0d:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.1 tell 192.168.1.108, length 46
09:20:10.634386 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.104 tell 192.168.1.1, length 46
09:20:11.271192 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.107 tell 192.168.1.1, length 46
09:20:11.354945 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.117 tell 192.168.1.1, length 46
09:20:11.858369 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.117 tell 192.168.1.1, length 46
09:20:12.159936 78:bd:bc:f8:0d:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.1 tell 192.168.1.108, length 46
09:20:12.658432 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.117 tell 192.168.1.1, length 46
09:20:13.315082 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.152 tell 192.168.1.1, length 46
09:20:13.906388 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.152 tell 192.168.1.1, length 46
09:20:14.183836 78:bd:bc:f8:0d:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.1 tell 192.168.1.108, length 46
09:20:14.682394 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.152 tell 192.168.1.1, length 46
09:20:15.366780 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.116 tell 192.168.1.1, length 46
09:20:15.954397 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.116 tell 192.168.1.1, length 46
09:20:16.208447 78:bd:bc:f8:0d:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.1 tell 192.168.1.108, length 46
09:20:16.706409 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.116 tell 192.168.1.1, length 46
09:20:17.414791 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.115 tell 192.168.1.1, length 46
09:20:17.523002 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.104 tell 192.168.1.1, length 46
09:20:18.210441 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.104 tell 192.168.1.1, length 46
09:20:18.236503 78:bd:bc:f8:0d:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.1 tell 192.168.1.108, length 46
09:20:18.351070 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.138 tell 192.168.1.1, length 46
09:20:19.026417 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.138 tell 192.168.1.1, length 46
09:20:19.642461 d4:6a:91:ce:70:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.138 tell 192.168.1.1, length 46
